Site,Col_Company,Col_Recruit,Col_detail,Col_url
인크루트,한국타이어앤테크놀로지(주),[신입/경력] R&D 데이터 분석 및 AI 기술 개발,"['대전 유성구', '경력무관', '학력무관', '정규직', '1000대', '한국타이어그룹', '빅데이터·AI(인공지능),', '응용프로그래머,', 'ERP·시스템분석·설계', '~06.01 (일)', '(22일전 등록)']",https://job.incruit.com/jobdb_info/jobpost.asp?job=2505070001203&src=etc*search
인크루트,(주)인싸이트에이치알지,국내 우량 소비재 기업 CRM데이터분석및 운영 담당 (대리~과장),"['서울', '경력 4년↑', '대졸', '정규직', '1000대', '빅데이터·AI(인공지능)', '채용시', '(2025.04.16 등록)']",https://job.incruit.com/jobdb_info/jobpost.asp?job=2504160002877&src=etc*search
인크루트,네이버 (주),[NAVER] 내부감사 데이터 설계 및 분석 담당 (경력),"['경기 성남시 분당구', '경력 2년↑', '학력무관', '정규직', '1000대', '네이버그룹', 'ERP·시스템분석·설계,', '빅데이터·AI(인공지능)', '18시 마감', '(13일전 등록)']",https://job.incruit.com/jobdb_info/jobpost.asp?job=2505160000130&src=etc*search
인크루트,우리은행,우리은행 데이터 사이언티스트 분석 (빅데이터플랫폼부) 전문직 채용공고,"['서울 중구', '경력 3년↑', '학력무관', '계약직', '1000대', '빅데이터·AI(인공지능),', 'ERP·시스템분석·설계,', '데이터베이스·DBA', '~06.11 (수)', '(2일전 수정)']",https://job.incruit.com/jobdb_info/jobpost.asp?job=2505270001902&src=etc*search
인크루트,(주)풀림,대표 가전제품 전문회사 데이터 분석가 (대리 책임급),"['서울 강남구', '경력 3년↑', '대졸', '정규직', '1000대', '데이터베이스·DBA', '채용시', '(17일전 등록)']",https://job.incruit.com/jobdb_info/jobpost.asp?job=2505120004432&src=etc*search
인크루트,씨제이올리브네트웍스(주),[CJ OliveNetworks/경력] 데이터 분석 플랫폼 개발 및 운영(Data Engineer),"['서울 용산구', '경력 3년↑', '대졸↑', '정규직', '1000대', 'CJ그룹', '통신·모바일,', '빅데이터·AI(인공지능),', 'ERP·시스템분석·설계', '~06.09 (월)', '(9일전 등록)']",https://job.incruit.com/jobdb_info/jobpost.asp?job=2505200002279&src=etc*search
인크루트,사회복지법인 세이브더칠드런코리아,세이브더칠드런 마케팅그룹 마케팅혁신팀 데이터 분석 담당자 모집,"['서울 마포구', '경력 3~10년', '학력무관', '계약직', '1000대', 'ERP·시스템분석·설계,', '빅데이터·AI(인공지능),', '마케팅', '채용시', '(3일전 수정)']",https://job.incruit.com/jobdb_info/jobpost.asp?job=2505200000236&src=etc*search
인크루트,(주)엠로,"[엠로]데이터 분석 플랫폼 개발자 모집(경력, 채용시 마감)","['서울 영등포구', '경력 6년↑', '대졸↑', '정규직', '1000대', '통신·모바일,', '응용프로그래머,', '웹프로그래머,', '빅데이터·AI(인공지능)', '~06.30 (월)', '(21일전 등록)']",https://job.incruit.com/jobdb_info/jobpost.asp?job=2505080002059&src=etc*search
인크루트,베이글코드,[CVS] 데이터 분석가 1년 인턴 (Business Analyst Intern),"['서울 강남구', '신입', '학력무관', '인턴', '1000대', 'ERP·시스템분석·설계,', '빅데이터·AI(인공지능)', '~05.30 (금)', '(21일전 등록)']",https://job.incruit.com/jobdb_info/jobpost.asp?job=2505080002151&src=etc*search
인크루트,(주)신세계디에프,[신세계디에프(면세점)]데이터분석경력직 채용,"['서울 중구', '경력 2~7년', '대졸', '정규직', '1000대', '신세계그룹', '데이터베이스·DBA,', '빅데이터·AI(인공지능)', '~05.31 (토)', '(13일전 등록)']",https://job.incruit.com/jobdb_info/jobpost.asp?job=2505160002495&src=etc*search
인크루트,(주)스카우트파트너스,데이터분석가 Data Analyst(생애주기.캠페인.CRM.SQL.Phython.R) 유통 대기업,"['서울', '경력 5~14년', '대졸↑', '정규직', '1000대', '데이터베이스·DBA,', 'ERP·시스템분석·설계,', '마케팅', '채용시', '(2024.08.31 수정)']",https://job.incruit.com/jobdb_info/jobpost.asp?job=2408310000711&src=etc*search
